          0.01u	  4	"C14, C15, C20, C46"
           0.1u	 56	"C2, C5, C8, C9, C10, C13, C16, C17, C19, C21, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C48, C49, C53, C54, C55, C57, C58, C59, C60, C61, C62, C63, C65, C67, C68, C69, C70, C71, C72, C73, C76, C77, C78"
            100	  1	"R8"
            10k	  3	"R1, R13, R16"
        10V 22u	  2	"C12, C18"
          16MHz	  1	"TX2"
    16V 1u Film	  2	"C51, C52"
        16V 47u	  2	"C11, C22"
             1k	  1	"R17"
             1M	  3	"R4, R12, R15"
          1n 5%	  1	"C50"
            200	  2	"R6, R7"
      22.579MHz	  1	"TX1"
         22n 5%	  1	"C47"
        25V 33u	  1	"C7"
           300k	  1	"R2"
     330@100MHz	  3	"L2, L3, L4"
            33k	  2	"R11, R14"
          3k 1%	  1	"R10"
            47k	  3	"R3, R9, RP1"
            47p	  2	"C74, C75"
        4V 220u	  1	"C4"
       6.3V 10u	  3	"C1, C6, C56"
       6.3V 22u	  2	"C64, C66"
      6.3V 470u	  1	"C3"
             75	  1	"R5"
          79L05	  1	"U8"
         AD8656	  1	"U12"
         AT93C6	  1	"U14"
    ATTINY13-SS	  1	"U3"
         AVRISP	  1	"P2"
         BAT54S	  2	"D1, D3"
   BRL3225T4R7M	  1	"L1"
         CS8416	  1	"U15"
   CY7C1041CV33	  1	"U9"
           DC5V	  1	"J1"
        FDS4935	  1	"Q1"
           HOLE	  4	"H1, H2, H3, H4"
           JTAG	  1	"P4"
             KB	  1	"P6"
         KB_PWR	  1	"P5"
          LCD L	  1	"J7"
          LCD R	  1	"J6"
 LFXP2-8E-TN144	  1	"U6"
        LINE IN	  1	"J4"
      LINE THRU	  1	"J5"
         LM1972	  1	"U11"
         NCP585	  1	"U1"
   NJM2845-DL33	  1	"U2"
     NJM2865-33	  1	"U4"
        PCM1802	  1	"U13"
       PDTC123J	  1	"Q2"
        PWRINV1	  1	"P1"
        PWRINV2	  1	"P3"
      S/PDIF IN	  1	"J2"
    S/PDIF THRU	  1	"J3"
         SC4503	  1	"U7"
         SS2040	  1	"D2"
       TAR5SB50	  1	"U5"
       TC33 10k	  2	"VR1, VR2"
        TC7WU04	  1	"U10"
